rtcode,yr,cmdcode,export
51,2020,24,245710092
52,2020,24,692034
51,2020,25,6438974
52,2020,25,15842055
51,2020,26,677267948
51,2020,27,67753320
52,2020,27,91621490
51,2020,28,1497642
52,2020,28,133641
51,2020,29,551188
52,2020,29,76185
51,2020,30,16358853
52,2020,30,24132379
51,2020,31,8203
52,2020,31,23110
51,2020,32,720434
52,2020,32,5443145
51,2020,33,2599274
52,2020,33,1890500
51,2020,34,2020321
52,2020,34,1395880
51,2020,35,312269
52,2020,35,20404
51,2020,36,31553
52,2020,36,247
51,2020,37,1713
52,2020,37,4237
51,2020,38,2562324
52,2020,38,23219807
51,2020,39,11554348
52,2020,39,4267499
48,2020,40,31900278
51,2020,40,2724121
52,2020,40,938700
48,2020,41,16997
51,2020,41,380927
52,2020,41,7494
48,2020,42,4609735
51,2020,42,4613868
52,2020,42,347882
48,2020,43,4927
51,2020,43,21617
48,2020,44,23636300
51,2020,44,569554
52,2020,44,150470
48,2020,45,288432
51,2020,45,2566
52,2020,45,32770
48,2020,46,307222
51,2020,46,7240
52,2020,46,13735
48,2020,47,4449788
51,2020,47,2
52,2020,47,24000
48,2020,48,46852604
51,2020,48,856890
52,2020,48,17199488
48,2020,49,18206811
51,2020,49,237284
52,2020,49,681046
48,2020,50,3367
51,2020,50,28
48,2020,51,1214
51,2020,51,67
48,2020,52,7558670
51,2020,52,36668
52,2020,52,899
48,2020,53,805
51,2020,53,15
48,2020,54,1458481
51,2020,54,314637
52,2020,54,869
48,2020,55,238160
51,2020,55,14179
52,2020,55,5810
48,2020,56,678822
51,2020,56,834286
52,2020,56,1996
48,2020,57,289156
51,2020,57,66583
52,2020,57,8186
48,2020,58,38990
51,2020,58,95213
52,2020,58,1046
48,2020,59,293475
51,2020,59,12378
52,2020,59,7110
48,2020,60,287
51,2020,60,95154
52,2020,60,7072
48,2020,61,10396727
51,2020,61,34084766
52,2020,61,610430
48,2020,62,31784976
51,2020,62,86585375
52,2020,62,2410496
48,2020,63,58533277
51,2020,63,2566351
52,2020,63,1906801
48,2020,64,5973606
51,2020,64,1855396
52,2020,64,1146717
48,2020,65,6548651
51,2020,65,448989
52,2020,65,129123
48,2020,66,3151
51,2020,66,460627
52,2020,66,1273
48,2020,67,127079
51,2020,67,16390
52,2020,67,5214
48,2020,68,9745800
51,2020,68,4644203
52,2020,68,2378660
48,2020,69,4410674
51,2020,69,2286969
52,2020,69,230728
48,2020,70,94171833
51,2020,70,11467125
52,2020,70,839548
48,2020,71,263590290
51,2020,71,348610378
52,2020,71,4298046
48,2020,72,615752327
51,2020,72,91282244
52,2020,72,5922189
48,2020,73,289707979
51,2020,73,3953610
52,2020,73,6675178
48,2020,74,57677949
51,2020,74,12461804
52,2020,74,11831
48,2020,75,1025102
48,2020,76,2792707932
51,2020,76,96063369
52,2020,76,5193951
48,2020,78,218578
48,2020,79,627625
51,2020,79,269
48,2020,80,368
52,2020,80,24568
48,2020,81,2935064
52,2020,81,4444
48,2020,82,4497962
51,2020,82,524978
52,2020,82,84131
48,2020,83,32987138
51,2020,83,1486913
52,2020,83,63038
48,2020,84,507086628
51,2020,84,22759513
52,2020,84,8098215
48,2020,85,167076809
51,2020,85,16845452
52,2020,85,8427609
48,2020,86,23542905
51,2020,86,157173
52,2020,86,167041
48,2020,87,447425926
51,2020,87,12497276
52,2020,87,2606638
48,2020,88,100522641
51,2020,88,2110
52,2020,88,917161
48,2020,89,29998722
52,2020,89,2680956
48,2020,90,31073887
51,2020,90,23998866
52,2020,90,8955131
48,2020,91,56649011
51,2020,91,28571973
52,2020,91,790842
48,2020,92,168315
51,2020,92,538
52,2020,92,28094
48,2020,93,1329
52,2020,93,1130
48,2020,94,32465402
51,2020,94,15647848
52,2020,94,4236608
48,2020,95,4626714
51,2020,95,602545
52,2020,95,118429
48,2020,96,35308891
51,2020,96,1308671
52,2020,96,37775
48,2020,97,95184
51,2020,97,200334
52,2020,97,45225
48,2020,99,8716384
51,2020,99,249310
52,2020,99,2909800
56,2020,1,679284536
56,2020,2,3301165913
56,2020,3,436650100
56,2020,4,3870361706
56,2020,5,153693707
56,2020,6,549581428
56,2020,7,2401027809
56,2020,8,1429399215
56,2020,9,415970546
56,2020,10,576663051
56,2020,11,1054849431
56,2020,12,579830229
56,2020,13,43288572
56,2020,14,22642563
56,2020,15,1723106535
56,2020,16,1084740997
56,2020,17,984004301
56,2020,18,2677137159
56,2020,19,3163080241
56,2020,20,3091777245
56,2020,21,1973689138
56,2020,22,3654642748
56,2020,23,2176056538
56,2020,24,512837308
56,2020,25,890126694
56,2020,26,288514801
56,2020,27,14887280063
56,2020,28,2843845961
56,2020,29,20540672344
56,2020,30,45824982155
56,2020,31,1591150113
56,2020,32,2563992794
56,2020,33,2467863958
56,2020,34,2449035253
56,2020,35,715330164
56,2020,36,37565889
56,2020,37,823422294
56,2020,38,5518566039
56,2020,39,17829091209
56,2020,40,3323666053
56,2020,41,57411022
56,2020,42,409252848
56,2020,43,10113867
56,2020,44,2368558675
56,2020,45,5946310
56,2020,46,12329748
56,2020,47,198111597
56,2020,48,2463523460
56,2020,49,564934717
56,2020,50,1760270
56,2020,51,57090580
56,2020,52,162557808
56,2020,53,297711124
56,2020,54,474373109
56,2020,55,712868308
56,2020,56,318636762
56,2020,57,1359881717
56,2020,58,143624420
56,2020,59,418369182
56,2020,60,109196247
56,2020,61,692206651
56,2020,62,804567264
56,2020,63,792517335
56,2020,64,298665116
56,2020,65,48070892
56,2020,66,24489128
56,2020,67,18789804
56,2020,68,997527047
56,2020,69,430466876
60,2020,2,30402
68,2020,2,64594529
60,2020,3,10016
60,2020,4,6127
68,2020,4,21569161
68,2020,5,978684
68,2020,6,9727
60,2020,7,6403
68,2020,7,18736522
60,2020,8,7173
68,2020,8,164532203
60,2020,9,1756
68,2020,9,8837985
60,2020,10,345
68,2020,10,106092096
60,2020,11,199
68,2020,11,3037344
60,2020,12,11
68,2020,12,91381534
68,2020,13,800
60,2020,14,111
68,2020,14,96240
60,2020,15,1051
68,2020,15,335644912
60,2020,16,2372
68,2020,16,6380661
60,2020,17,3380
68,2020,17,50749221
60,2020,18,626
68,2020,18,2513883
60,2020,19,32855
68,2020,19,15315302
60,2020,20,7264
68,2020,20,14188671
60,2020,21,16942
68,2020,21,826126
60,2020,22,2866559
68,2020,22,67999678
60,2020,23,532
68,2020,23,513565895
60,2020,24,189338
68,2020,24,37421
60,2020,25,269
68,2020,25,56292742
68,2020,26,1482186164
60,2020,27,8034
68,2020,27,2038299956
60,2020,28,2298
68,2020,28,11500762
68,2020,29,2791524
60,2020,30,1411
68,2020,30,1802344
68,2020,31,6578617
60,2020,32,20
68,2020,32,1314335
60,2020,33,102
68,2020,33,7308480
60,2020,34,7367
68,2020,34,2877225
68,2020,35,108984
68,2020,36,7424921
68,2020,37,5569
60,2020,38,1007
68,2020,38,3022026
60,2020,39,188678
68,2020,39,4069040
60,2020,40,961
68,2020,40,568676
68,2020,41,7301168
60,2020,42,2290
68,2020,42,4594099
60,2020,44,384
68,2020,44,54390890
68,2020,45,119
68,2020,46,23346
68,2020,47,7085
60,2020,48,3744
68,2020,48,9090560
60,2020,49,4400
68,2020,49,77191
68,2020,51,2072164
68,2020,52,505350
68,2020,53,7010
68,2020,54,2501421
68,2020,55,14395
60,2020,56,139
68,2020,56,1438726
60,2020,58,50
68,2020,58,45261
68,2020,59,9993
68,2020,60,270344
60,2020,61,32000
68,2020,61,2231654
60,2020,62,4247
68,2020,62,437007
60,2020,63,35653
68,2020,63,1807926
68,2020,64,468696
60,2020,65,75
68,2020,65,7420256
68,2020,66,17
68,2020,67,2160
68,2020,68,4170767
60,2020,69,263
68,2020,69,4552462
56,2020,70,1814800807
60,2020,70,904
68,2020,70,329290
56,2020,71,15465264098
60,2020,71,244163
68,2020,71,1481053724
56,2020,72,11050124534
60,2020,72,15
68,2020,72,11983990
56,2020,73,4015870599
60,2020,73,1096728
68,2020,73,1746810
56,2020,74,3224468015
68,2020,74,15293479
56,2020,75,157104957
68,2020,75,638534
56,2020,76,2353293797
60,2020,76,6481
68,2020,76,4461882
56,2020,78,221079805
68,2020,78,694849
56,2020,79,427298709
60,2020,79,317
56,2020,80,192774415
68,2020,80,177130170
56,2020,81,176006945
68,2020,81,1631230
56,2020,82,839671424
60,2020,82,168562
68,2020,82,730509
56,2020,83,406623753
60,2020,83,275
68,2020,83,275050
56,2020,84,20915757279
60,2020,84,813564
68,2020,84,58973352
56,2020,85,11249501695
60,2020,85,923271
56,2020,86,190029440
56,2020,87,35090677137
60,2020,87,1587965
56,2020,88,770277340
60,2020,88,121064
56,2020,89,32667535
60,2020,89,30000
56,2020,90,8465754471
60,2020,90,1186797
56,2020,91,142087741
60,2020,91,63600
56,2020,92,23462259
60,2020,92,9231918
56,2020,93,66736995
56,2020,94,1789653930
60,2020,94,83635
56,2020,95,697751883
60,2020,95,16183
56,2020,96,1114110914
60,2020,96,375
56,2020,97,103206013
56,2020,99,1730392751
60,2020,99,50802
70,2020,1,1926751
72,2020,1,40119239
70,2020,2,23626774
72,2020,2,19537354
70,2020,3,11949890
72,2020,3,1043393
70,2020,4,59170897
72,2020,4,47000
70,2020,5,372318
72,2020,5,42406
70,2020,6,4360439
72,2020,6,224142
70,2020,7,28415114
72,2020,7,3805897
70,2020,8,72197816
72,2020,8,16161
70,2020,9,9433023
72,2020,9,130113
70,2020,10,10547872
72,2020,10,1761104
70,2020,11,9854198
72,2020,11,2727752
70,2020,12,15024464
72,2020,12,237329
70,2020,13,42777
72,2020,13,2776699
70,2020,14,82883
70,2020,15,63538249
72,2020,15,303500
70,2020,16,52081805
72,2020,16,130256
70,2020,17,3080668
72,2020,17,118295
70,2020,18,14516357
72,2020,18,208
70,2020,19,43886525
72,2020,19,979943
70,2020,20,10886675
72,2020,20,5154762
70,2020,21,16676528
72,2020,21,368701
70,2020,22,36458633
72,2020,22,740254
70,2020,23,11464055
72,2020,23,4899788
70,2020,24,2695730
72,2020,24,1936584
70,2020,25,54997157
72,2020,25,24523946
70,2020,26,40459137
72,2020,26,26404799
70,2020,27,414935752
72,2020,27,16740101
70,2020,28,294933257
72,2020,28,40042060
70,2020,29,8681278
72,2020,29,137534
70,2020,30,77913987
72,2020,30,11035145
70,2020,31,1192038
72,2020,31,103804
70,2020,32,12611266
72,2020,32,685052
70,2020,33,15682273
72,2020,33,379886
70,2020,34,9322741
72,2020,34,1088594
70,2020,35,1029347
72,2020,35,43828
70,2020,36,21221584
72,2020,36,496399
70,2020,37,20689
72,2020,37,3421
70,2020,38,15095409
72,2020,38,928010
70,2020,39,299419277
72,2020,39,23016151
70,2020,40,5305457
72,2020,40,1215512
70,2020,41,21746163
72,2020,41,153709
70,2020,42,29021453
72,2020,42,124312
70,2020,43,2687888
72,2020,43,4240
70,2020,44,417791372
72,2020,44,1102019
70,2020,45,9590
72,2020,45,119
70,2020,46,2516460
72,2020,46,25957
70,2020,47,5154999
72,2020,47,830712
70,2020,48,136893574
72,2020,48,893241
70,2020,49,28163814
72,2020,49,126801
70,2020,50,97121
70,2020,51,1142918
72,2020,51,1529
70,2020,52,6692835
72,2020,52,10985
70,2020,53,10714
70,2020,54,3197471
72,2020,54,4204
70,2020,55,11480130
72,2020,55,27052
70,2020,56,1989248
72,2020,56,1622
70,2020,57,798573
72,2020,57,1873
70,2020,58,3145211
72,2020,58,3000885
70,2020,59,5232433
72,2020,59,127438
70,2020,60,4937227
72,2020,60,7070
70,2020,61,134077151
72,2020,61,1055187
70,2020,62,143739998
72,2020,62,463143
70,2020,63,33699277
72,2020,63,9578164
70,2020,64,368686973
72,2020,64,964536
70,2020,65,2222335
72,2020,65,140075
70,2020,66,8826480
70,2020,67,63566
72,2020,67,9015
70,2020,68,39999746
72,2020,68,4139801
70,2020,69,7435867
72,2020,69,76051
70,2020,70,21780535
72,2020,70,541538
70,2020,71,20755522
72,2020,71,3800520125
70,2020,72,269076464
72,2020,72,9480201
70,2020,73,422735438
72,2020,73,3540651
70,2020,74,44418418
72,2020,74,2938704
70,2020,75,30973
72,2020,75,797
70,2020,76,212362413
72,2020,76,2222965
70,2020,78,1040582
72,2020,78,631484
70,2020,79,26660572
72,2020,79,13676
70,2020,80,4224
72,2020,80,39
70,2020,81,126212
72,2020,81,2568
70,2020,82,14146628
72,2020,82,1030328
70,2020,83,27705447
72,2020,83,830834
70,2020,84,449881159
