rtcode,yr,cmdcode,import
48,2020,91,86058633
44,2020,92,383944
48,2020,92,1265835
44,2020,93,102260
48,2020,93,364642
44,2020,94,69989220
48,2020,94,191386400
44,2020,95,10959925
48,2020,95,39896604
44,2020,96,9451634
48,2020,96,50324564
44,2020,97,70204046
48,2020,97,1534235
48,2020,99,7055446
52,2020,1,740034
52,2020,2,27460568
52,2020,3,13581087
51,2020,4,56380732
52,2020,4,30102169
51,2020,5,7613916
52,2020,5,56727
51,2020,6,5978082
52,2020,6,667119
51,2020,7,18599043
52,2020,7,15225306
51,2020,8,69869698
52,2020,8,18664392
51,2020,9,27203187
52,2020,9,3932511
51,2020,10,96906231
52,2020,10,15157546
51,2020,11,17466893
52,2020,11,8163515
51,2020,12,11156269
52,2020,12,12370856
51,2020,13,7576401
52,2020,13,142730
51,2020,14,100906
52,2020,14,26700
51,2020,15,52621989
52,2020,15,11889240
51,2020,16,10046235
52,2020,16,16265162
51,2020,17,39968982
52,2020,17,21570740
51,2020,18,42089617
52,2020,18,5909203
51,2020,19,38788554
52,2020,19,30068680
51,2020,20,23946103
52,2020,20,21302135
51,2020,21,30533142
52,2020,21,40620731
51,2020,22,34561117
52,2020,22,40007875
51,2020,23,50481248
52,2020,23,12198890
51,2020,24,127091624
52,2020,24,4231264
51,2020,25,24613304
52,2020,25,10123799
51,2020,26,2852171
52,2020,26,5691
51,2020,27,719322518
52,2020,27,259790096
51,2020,28,37100804
52,2020,28,4157105
51,2020,29,11933975
52,2020,29,4633553
51,2020,30,161125260
52,2020,30,44945355
51,2020,31,24188336
52,2020,31,2667152
51,2020,32,34314609
52,2020,32,13363087
51,2020,33,59222321
52,2020,33,18864038
51,2020,34,36310109
52,2020,34,19714918
51,2020,35,8343700
52,2020,35,1759908
51,2020,36,2201693
52,2020,36,615490
51,2020,37,1297828
52,2020,37,2800992
51,2020,38,40987330
52,2020,38,28706505
51,2020,39,134314360
52,2020,39,55674494
51,2020,40,60730905
52,2020,40,10765297
51,2020,41,2632421
52,2020,41,92014
51,2020,42,9737332
52,2020,42,2508903
51,2020,43,2906837
52,2020,43,1004
51,2020,44,49812432
52,2020,44,26114198
51,2020,45,3610019
52,2020,45,999772
51,2020,46,135223
52,2020,46,360515
51,2020,47,42772
52,2020,47,1277
51,2020,48,81583017
52,2020,48,35976866
51,2020,49,5502399
52,2020,49,5740292
51,2020,50,40615
52,2020,50,1412
51,2020,51,544590
52,2020,51,7132
51,2020,52,16162926
52,2020,52,381307
51,2020,53,1083122
52,2020,53,30615
51,2020,54,23157887
52,2020,54,875607
51,2020,55,17201007
52,2020,55,1875120
51,2020,56,8098729
52,2020,56,1375590
51,2020,57,2709392
52,2020,57,1431685
51,2020,58,7266013
52,2020,58,435004
51,2020,59,10784393
52,2020,59,606979
51,2020,60,12899011
52,2020,60,219716
51,2020,61,67955848
52,2020,61,3533115
51,2020,62,59683621
52,2020,62,10695526
51,2020,63,16430635
52,2020,63,11560612
51,2020,64,41614111
52,2020,64,4912183
51,2020,65,1540337
52,2020,65,681305
51,2020,66,786363
52,2020,66,584876
51,2020,67,927125
52,2020,67,1314926
51,2020,68,18446147
52,2020,68,5818049
51,2020,69,32592043
52,2020,69,6530970
51,2020,70,42259918
52,2020,70,12212811
51,2020,71,143641593
52,2020,71,336194
51,2020,72,108838000
52,2020,72,10149412
51,2020,73,106239555
52,2020,73,30433574
51,2020,74,6518524
52,2020,74,1314555
51,2020,75,120997
52,2020,75,55062
51,2020,76,102001181
52,2020,76,12887502
51,2020,78,314046
52,2020,78,19974
51,2020,79,167136
52,2020,79,135922
51,2020,80,30975
52,2020,80,2066527
51,2020,81,377825
52,2020,81,12382
51,2020,82,10540163
52,2020,82,5256735
51,2020,83,22542504
52,2020,83,8537451
51,2020,84,486204924
52,2020,84,142709722
51,2020,85,320633679
52,2020,85,131027849
51,2020,86,6758709
52,2020,86,1657695
51,2020,87,150502716
52,2020,87,96884329
51,2020,88,10803421
52,2020,88,1053629
51,2020,89,32889
52,2020,89,629030
51,2020,90,98571257
52,2020,90,38215290
51,2020,91,3906146
52,2020,91,504629
51,2020,92,780207
52,2020,92,313826
52,2020,93,297691
51,2020,94,61552123
52,2020,94,28247897
51,2020,95,26844491
52,2020,95,6806788
51,2020,96,30774615
52,2020,96,9955580
51,2020,97,77619
52,2020,97,212758
51,2020,99,18767266
52,2020,99,5269564
56,2020,1,520922716
56,2020,2,1676385901
56,2020,3,1250867325
56,2020,4,3750047963
56,2020,5,173552727
56,2020,6,397223206
56,2020,7,2074892414
56,2020,8,2257391083
56,2020,9,744538387
56,2020,10,2076219719
56,2020,11,395768356
56,2020,12,1601064847
56,2020,13,101398942
56,2020,14,27069237
56,2020,15,2199195967
56,2020,16,1067902594
56,2020,17,662275940
56,2020,18,2041642574
56,2020,19,1721672481
56,2020,20,1371566541
56,2020,21,1273280392
56,2020,22,2702482782
56,2020,23,1784126512
56,2020,24,688421146
56,2020,25,1056190402
56,2020,26,1601539986
56,2020,27,23647403421
56,2020,28,2057022384
56,2020,29,17883592402
56,2020,30,36935451635
56,2020,31,833696467
56,2020,32,1874486266
56,2020,33,2853312166
56,2020,34,1529386147
56,2020,35,513793463
56,2020,36,28389885
56,2020,37,233267358
56,2020,38,4909758109
56,2020,39,10801858756
56,2020,40,3229630497
56,2020,41,28481063
56,2020,42,532203495
56,2020,43,9287166
56,2020,44,2604545634
56,2020,45,15460508
56,2020,46,24242019
56,2020,47,266593505
56,2020,48,3246732391
56,2020,49,529529143
56,2020,50,4597841
56,2020,51,43481259
56,2020,52,137509026
56,2020,53,168164386
56,2020,54,466075493
56,2020,55,336410263
56,2020,56,356144331
56,2020,57,169406175
56,2020,58,65473454
56,2020,59,139748644
56,2020,60,98096860
56,2020,61,2153929897
56,2020,62,2067700974
56,2020,63,1527199475
56,2020,64,892393538
56,2020,65,73763128
56,2020,66,42994565
56,2020,67,34055468
56,2020,68,695189207
60,2020,1,449503
60,2020,2,23071865
60,2020,3,10693537
60,2020,4,15660500
60,2020,5,68309
60,2020,6,950776
60,2020,7,13182827
60,2020,8,16108254
60,2020,9,4129494
60,2020,10,1492310
60,2020,11,1729498
60,2020,12,1772768
60,2020,13,145040
60,2020,14,12847
60,2020,15,3269538
60,2020,16,14303129
60,2020,17,3922537
60,2020,18,3712900
60,2020,19,20808843
60,2020,20,12246517
60,2020,21,19303085
60,2020,22,41178130
60,2020,23,6090085
60,2020,24,2752619
60,2020,25,4807023
60,2020,26,1303
60,2020,27,53033454
60,2020,28,1128936
60,2020,29,665282
60,2020,30,20782480
60,2020,31,803978
60,2020,32,7007172
60,2020,33,9588075
60,2020,34,13072828
60,2020,35,892043
60,2020,36,69109
60,2020,37,20980
60,2020,38,10831182
60,2020,39,29079923
60,2020,40,4225259
60,2020,41,9954
60,2020,42,2228489
60,2020,43,609
60,2020,44,9624111
60,2020,45,22015
60,2020,46,109096
60,2020,47,6155
60,2020,48,15103908
56,2020,69,616065263
56,2020,70,1718767772
56,2020,71,14113365357
56,2020,72,7082620805
56,2020,73,4271245276
56,2020,74,3884555103
56,2020,75,271535432
56,2020,76,2261317051
56,2020,78,107141966
56,2020,79,451830618
56,2020,80,102519389
56,2020,81,262748711
56,2020,82,931894785
56,2020,83,872288138
56,2020,84,24913180920
56,2020,85,19937612644
56,2020,86,268411736
56,2020,87,36511193031
56,2020,88,1370750103
56,2020,89,270546495
56,2020,90,8736317646
56,2020,91,179922482
56,2020,92,49864403
56,2020,93,60153306
56,2020,94,2971508806
56,2020,95,1058443847
56,2020,96,891018031
56,2020,97,232072672
56,2020,99,501875163
68,2020,1,10435698
70,2020,1,37165038
68,2020,2,3626051
70,2020,2,154417327
68,2020,3,9254111
70,2020,3,17683326
68,2020,4,28467762
70,2020,4,97189805
68,2020,5,1652930
70,2020,5,2743283
68,2020,6,1197657
70,2020,6,10933353
68,2020,7,4787141
70,2020,7,57737675
68,2020,8,25459662
70,2020,8,119227402
68,2020,9,6866255
70,2020,9,52374828
68,2020,10,56318524
70,2020,10,119798317
68,2020,11,154520865
70,2020,11,25162180
68,2020,12,22017102
70,2020,12,60059231
68,2020,13,2293509
70,2020,13,1244839
68,2020,14,21195
70,2020,14,109260
68,2020,15,21310810
70,2020,15,86748239
68,2020,16,16985946
70,2020,16,68772678
68,2020,17,23065061
70,2020,17,69041456
68,2020,18,26684566
70,2020,18,105191504
68,2020,19,88386825
70,2020,19,135251712
68,2020,20,28841707
70,2020,20,48380854
68,2020,21,140784748
70,2020,21,172865610
68,2020,22,45521654
70,2020,22,180462559
68,2020,23,51994789
70,2020,23,112696182
68,2020,24,14865564
70,2020,24,45585704
68,2020,25,8204613
70,2020,25,60170399
68,2020,26,264303
70,2020,26,3513406
68,2020,27,938458237
70,2020,27,954759399
68,2020,28,61637920
68,2020,29,76390703
68,2020,30,238740315
68,2020,31,58827101
68,2020,32,57698177
68,2020,33,111452506
68,2020,34,87222984
68,2020,35,26937476
68,2020,36,12240024
68,2020,37,4770545
68,2020,38,302602288
68,2020,39,390814823
68,2020,40,131424758
68,2020,41,17545
68,2020,42,11993796
68,2020,43,21290
68,2020,44,28071613
68,2020,45,447386
68,2020,46,45525
68,2020,47,24261614
68,2020,48,105774132
60,2020,49,37751092
68,2020,49,20462840
60,2020,50,142458
68,2020,50,960
60,2020,51,6064
68,2020,51,4629080
60,2020,52,202333
68,2020,52,7916999
60,2020,53,28817
68,2020,53,196768
60,2020,54,84332
68,2020,54,11053210
60,2020,55,121060
68,2020,55,28434683
60,2020,56,507994
68,2020,56,8374140
60,2020,57,2004998
68,2020,57,4113712
60,2020,58,109292
68,2020,58,4122487
60,2020,59,363897
68,2020,59,13016864
60,2020,60,10982
68,2020,60,19287333
60,2020,61,6848604
68,2020,61,14735244
60,2020,62,10237512
68,2020,62,12596213
60,2020,63,13130962
68,2020,63,67239325
60,2020,64,5266418
68,2020,64,55312461
60,2020,65,1232163
68,2020,65,3831345
60,2020,66,355168
68,2020,66,1025623
60,2020,67,504563
68,2020,67,947277
60,2020,68,6928330
68,2020,68,21565721
60,2020,69,4378123
68,2020,69,42409981
60,2020,70,3614928
68,2020,70,41350189
60,2020,71,7812013
68,2020,71,5934132
60,2020,72,1135733
68,2020,72,328800027
60,2020,73,17357751
68,2020,73,208390288
60,2020,74,750362
68,2020,74,15280119
60,2020,75,8222
68,2020,75,174442
60,2020,76,5900612
68,2020,76,76890376
60,2020,78,3160
68,2020,78,332019
60,2020,79,35739
68,2020,79,1679341
60,2020,80,7257
68,2020,80,187174
60,2020,81,7417
68,2020,81,223519
60,2020,82,2517111
68,2020,82,39974385
60,2020,83,3758536
68,2020,83,39307376
60,2020,84,58006801
68,2020,84,816637002
60,2020,85,42795777
68,2020,85,536418750
60,2020,86,424287
68,2020,86,13936733
60,2020,87,30435271
68,2020,87,679635464
60,2020,88,19292
68,2020,88,86568393
60,2020,89,13978225
68,2020,89,223985
60,2020,90,20293139
68,2020,90,197164892
60,2020,91,2147574
68,2020,91,3744421
60,2020,92,313633
68,2020,92,2690129
60,2020,93,21917
68,2020,93,16337264
